Model,Type,Operating Pressure (bar),Flow Rate (m³/min),Max. Working Pressure (bar),Drive Motor Rated Power (kW)
CSD 105 SFC,VSD,13.00,6.88,15.00,55.00
CSD 125 SFC,VSD,7.50,12.00,8.50,75.00
CSD 125 SFC,VSD,10.00,10.53,12.00,75.00
CSD 125 SFC,VSD,13.00,8.75,15.00,75.00
CSDX 140 SFC,VSD,7.50,13.17,8.50,75.00
CSDX 140 SFC,VSD,10.00,11.33,12.00,75.00
CSDX 140 SFC,VSD,13.00,9.73,15.00,75.00
CSDX 165 SFC,VSD,7.50,15.84,8.50,90.00
CSDX 165 SFC,VSD,10.00,13.84,12.00,90.00
CSDX 165 SFC,VSD,13.00,11.70,15.00,90.00
CSD 85 T SFC,VSD,7.50,8.08,8.50,45.00
CSD 85 T SFC,VSD,10.00,6.91,12.00,45.00
CSD 85 T SFC,VSD,13.00,5.92,15.00,45.00
CSD 105 T SFC,VSD,7.50,9.85,8.50,55.00
CSD 105 T SFC,VSD,10.00,8.35,12.00,55.00
CSD 105 T SFC,VSD,13.00,6.88,15.00,55.00
CSD 125 T SFC,VSD,7.50,12.00,8.50,75.00
CSD 125 T SFC,VSD,10.00,10.53,12.00,75.00
CSD 125 T SFC,VSD,13.00,8.75,15.00,75.00
CSDX 140 T SFC,VSD,7.50,13.70,8.50,75.00
CSDX 140 T SFC,VSD,10.00,11.33,12.00,75.00
CSDX 140 T SFC,VSD,13.00,9.73,15.00,75.00
CSDX 165 T SFC,VSD,7.50,15.84,8.50,90.00
CSDX 165 T SFC,VSD,10.00,13.84,12.00,90.00
CSDX 165 T SFC,VSD,13.00,11.70,15.00,90.00
